Voltage 28v,26,27,29,30
Voltage 5v,4,4.5,5.5,6
Voltage 12v,11,11.5,12.5,13
Voltage 24v,22,23,25,26
Current 5v,0,0,2500,3000
Current 12v,0,0,1200,1500
Current 24v,0,0,500,800
eBox Temp,-50,-40,50,80
Pressure,10,100,150,200
IMU Mag x,1,2,8,10
IMU Mag y,1,2,8,10
IMU Mag z,1,2,8,10
IMU Acc x,1,2,8,10
IMU Acc y,1,2,8,10
IMU Acc z,1,2,8,10
Heater 1 status,OFF,OFF,OFF,OFF
Heater 2 status,OFF,OFF,OFF,OFF
Heater 3 status,OFF,OFF,OFF,OFF
Heater 4 status,OFF,OFF,OFF,OFF
Heater 5 status,OFF,OFF,OFF,OFF
Heater 6 status,OFF,OFF,OFF,OFF
Temp 1 status,OFF,OFF,OFF,OFF
Temp 2 status,OFF,OFF,OFF,OFF
Temp 3 status,OFF,OFF,OFF,OFF
Temp 4 status,OFF,OFF,OFF,OFF
Temp 5 status,OFF,OFF,OFF,OFF
Temp 6 status,OFF,OFF,OFF,OFF
BW 1 status,OFF,OFF,OFF,OFF
BW 2 status,OFF,OFF,OFF,OFF
Current Lim status,OFF,OFF,OFF,OFF
RPI 1 status,OFF,OFF,OFF,OFF
RPI 2 status,OFF,OFF,OFF,OFF
RPI 3 status,OFF,OFF,OFF,OFF
RPI 4 status,OFF,OFF,OFF,OFF
Motor speed,0,0,850,900
