voltage_28V,voltage_5V,voltage_12V,voltage_24V,current_5V,current_12V,current_24V,ebox_temp,pressure,imu_mag_x,imu_mag_y,imu_mag_z,imu_acc_x,imu_acc_y,imu_acc_z,heater_1_status,heater_2_status,heater_3_status,heater_4_status,heater_5_status,heater_6_status,temp_1_status,temp_2_status,temp_3_status,temp_4_status,temp_5_status,temp_6_status,burn_wire_1_status,burn_wire_2_status,current_limiting_status,rpi_1_status,rpi_2_status,rpi_3_status,rpi_4_status,motor_speed,recording_mode_flag,deployment_mode_flag,auto_mode_flag,motor_fault
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
28.29,4.99,11.86,23.93,311.28,30.52,42.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0
28.28,4.99,11.88,23.96,321.04,31.74,52.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0
28.4,4.99,11.89,23.96,379.64,28.08,48.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0
28.32,5.0,11.86,23.92,325.93,32.96,48.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0
28.28,4.99,11.85,24.0,327.15,32.96,42.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0
28.28,4.99,11.88,24.0,335.69,30.52,43.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0
28.3,5.0,11.86,23.93,327.15,29.3,47.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0
28.29,5.0,11.86,23.94,372.31,29.3,47.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0
28.29,4.99,11.88,23.92,330.81,32.96,47.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0
28.27,5.0,11.88,23.95,310.06,30.52,48.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0
28.34,4.98,11.88,24.0,329.59,29.3,36.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0
28.32,4.99,11.86,23.91,332.03,30.52,47.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0
28.32,4.99,11.88,23.96,333.25,30.52,42.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0
28.34,4.99,11.88,23.97,322.27,24.41,47.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0
28.27,5.0,11.89,23.96,327.15,18.31,48.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0
